method,family,split,row_count,rps,rps_delta_vs_b4,relative_rps_gain_vs_b4,nll,brier,crps,ece,mce,entropy
K1_B4_power_calibrated,calibration,fold1,1096,0.04133182744852601,,,1.0168314745601132,0.044502172629635524,0.4133182744852602,0.027022363033878078,0.20287781510201597,1.0011115246318343
K0_B4_identity,calibration,fold1,1096,0.04135674119987549,,,1.0181507906824119,0.04452422150885171,0.4135674119987549,0.031314341823129394,0.2095165181932006,0.9822368385084519
K2_B4_monotone_cdf_projected,calibration,fold1,1096,0.04135674119987549,,,1.0181507906824119,0.044524221508851713,0.41356741199875485,0.031314341823129505,0.2095165181932006,0.9822368385084531
K0_B4_identity,calibration,fold2,1095,0.040075238899464107,,,0.9904848298915684,0.043992427313920904,0.4007523889946411,0.025933660859636654,0.11768708052360638,0.9744418356260469
K2_B4_monotone_cdf_projected,calibration,fold2,1095,0.040075238899464107,,,0.9904848298915686,0.043992427313920904,0.4007523889946411,0.02593366085963675,0.11768708052360627,0.974441835626048
K1_B4_power_calibrated,calibration,fold2,1095,0.040081238653585885,,,0.9901586207948208,0.043977088173094855,0.4008123865358588,0.02237973935834458,0.08979193083797882,0.9932960488053735
K0_B4_identity,calibration,fold3,1095,0.04119510234348775,,,1.0462284424500858,0.04650853131951503,0.4119510234348775,0.02947508416393169,0.07871425375405261,1.0342665569795988
K2_B4_monotone_cdf_projected,calibration,fold3,1095,0.04119510234348775,,,1.0462284424500858,0.04650853131951503,0.4119510234348775,0.029475084163931808,0.07871425375405261,1.0342665569795997
K1_B4_power_calibrated,calibration,fold3,1095,0.04122339462405979,,,1.0461566797907773,0.04651062728083267,0.412233946240598,0.02425744009978125,0.15454831651040757,1.0551198909393202
K0_B4_identity,calibration,fold4,731,0.043838747606918915,,,1.1127438159478817,0.04904221973798374,0.4383874760691892,0.035647614913595436,0.11880698914243204,1.0562548259072508
K2_B4_monotone_cdf_projected,calibration,fold4,731,0.043838747606918915,,,1.1127438159478846,0.04904221973798374,0.4383874760691892,0.035647614913595436,0.11880698914243204,1.0562548259072513
K1_B4_power_calibrated,calibration,fold4,731,0.04385825986875214,,,1.1104790705843457,0.04900775833875189,0.4385825986875216,0.025231346958585123,0.09882974954656099,1.0784274980093114
K0_B4_identity,calibration,presealed_2022_2023,730,0.042120905782226166,,,1.0465622707551683,0.04690589566462004,0.4212090578222616,0.0325748296243969,0.15476981748741625,1.029522712741791
K2_B4_monotone_cdf_projected,calibration,presealed_2022_2023,730,0.042120905782226166,,,1.0465622707551683,0.04690589566462004,0.4212090578222617,0.03257482962439697,0.15476981748741636,1.0295227127417919
K1_B4_power_calibrated,calibration,presealed_2022_2023,730,0.04213400212116211,,,1.0462338445899628,0.04688221794153786,0.42134002121162106,0.028670870184123322,0.13522113660460122,1.0502676693486703
K1_B4_power_calibrated,calibration,sealed_2024_2026_05,882,0.043155327449533536,,,1.053810951646805,0.046783112523956255,0.4315532744953353,0.03233711344208274,0.13907598967112433,1.0478374886522626
K0_B4_identity,calibration,sealed_2024_2026_05,882,0.04317412121679916,,,1.0546407998342586,0.04682486672172511,0.43174121216799155,0.031253270625876545,0.1126857115685777,1.0280662235079896
K2_B4_monotone_cdf_projected,calibration,sealed_2024_2026_05,882,0.04317412121679916,,,1.0546407998342588,0.04682486672172511,0.43174121216799155,0.03125327062587662,0.11268571156857776,1.0280662235079907
